English,Mandarin,Spanish,Hindi-unicode,Hindi,Bahasa,Khmer
I CAN SING A BILLION SONGS,即使唱遍赞美诗,Puedo cantar un billón de canciones,मैं एक अरब गीत गा सकता हूँ,"eSa ,d vjc xhr xk ldrk gw¡",,"ខ្ញុំអាចច្រៀងចម្រៀងលានបទ
"
DANCE TILL MY FEET ARE NUMB,跳舞跳麻了腿,Danzar hasta que mis pies se adormezcan,नाचूँगा जब तक मेरे पैर सुन्न हो जाएँ,"ukpw¡xk tc rd esjs iSj lqUu gks tk,¡",,"រាំរហូតជើងខ្ញុំស្ពើក
"
SPIN TILL I'M EMPTY AND POOR,穷尽家产来欢庆,Girar hasta estar vació y necesitado,घूमूं जब तक मै खाली न हो जाऊं,?kwewa tc rd eS [kkyh u gks tkÅa,,"រាំបង្វែលអស់សោកសៅ
"
I CAN'T PRAISE YOU ENOUGH,也都赞美不尽,No puedo alabarte lo suficiente,मैं तेरी पर्याप्त स्तुति नहीं कर सकता ,eSa rsjh i;kZIr Lrqfr ugha dj ldrk ,,ខ្ញុំសរសើរទ្រង់មិនគ្រប់
I CAN SHOUT TILL MY VOICE GIVES WAY,即使声音喊哑,Puedo gritar hasta que mi voz ceda,मै चिल्लाऊं जब तक मै न थकू,eS fpYykÅa tc rd eS u Fkdw,,ខ្ញុំអាចច្រៀងទាល់អស់សំលេង
LEAP TILL I HAVE NO STRENGTH,跳跃跳得累垮,Saltar hasta no tener fuerzas,कुदुं जब जब तक मै न थकू,dqnqa tc tc rd eS u Fkdw,,លោតទាល់អស់កម្លាំង
LOSE MY BREATH TRYING TO EXPLAIN,耗尽气力来传扬 *也都颂赞不完,Perder el aliento tratando de explicar,मै समझा नहीं सकता ,eS le>k ugha ldrk ,,ពន្យល់ទាំងដង្ហើមខ្ងុំត្រហក់
AND IF TIME WERE TO STALL,就算时间停滞,Y si el tiempo parara,अगर समय आये स्रथिर रहना का ,vxj le; vk;s lzfFkj jguk dk ,,ហើយបើដល់ពេលត្រូវឈប់
I CAN NEVER TELL IT ALL,我怎说也说不完,Aun no podría nunca decirlo todo,मै कभी बता नहीं सकता,eS dHkh crk ugha ldrk,,ខ្ងុំមិនអាចប្រាប់គ្រប់ទាំងអស់
WORDS ARE FEW,有些话,Las palabras son pocas,शब्द कम हैं ,kCn de gSa ,,ពាក្យមានតិច
THIS WILL HAVE TO DO,尽在不言中,Esto tendrá que hacerlo,पर यह करूँगा ,ij ;g d:¡xk ,,នេះជាអ្វីត្រូវធ្វើ
I JUST WANNA THANK YOU,只想说谢谢祢,Solo quiero agradecerte,बस तुझे धन्यवाद दूंगा ,cl rq>s /kU;okn nwaxk ,,"ខ្ងុំគ្រន់តែចង់អរព្រះគុណ
"
I'M SO GRATEFUL,我好感恩,Estoy tan agradecido ,मै बहुत आभारी हूँ ,eS cgqr vkHkkjh gw¡ ,,ខ្ញុំសែនរីករាយ
YOU SANG TILL I FOUND MY SONG,祢为我雀跃歌唱,Tu cantaste hasta que encontré mi canción,तूने गाया जब तक मेरा गीत न मिला ,rwus xk;k tc rd esjk xhr u feyk ,,ទ្រង់ច្រៀងរហូតដល់ខ្ញុំលឺបទនេះ
YOU DANCED TILL MY HEART WOKE UP,使我心苏醒欢唱,Danzaste hasta que mi corazón se despertó,तूने नाचा कब तक मेरा ह्रदय जागृत न हुआ ,rwus ukpk dc rd esjk ºzn; tkx`r u gqvk ,,ទ្រង់រាំទាល់ចិត្តខ្ញុំភ្ញើក
NOW I MOVE TO THE RHYTHM OF LOVE,如今我随着爱而律动 *向祢歌颂不止,Ahora me muevo al ritmo del amor,अब मै ह्रदय की ताल पर चलता हूँ ,vc eS ºzn; dh rky ij pyrk gw¡ ,,"ឥឡូវ​ខ្ញុំផ្លាស់ទៅសេចក្តីស្រឡាញ់
"
YOU WEPT TILL I FOUND MY STRENGTH,祢为我哭泣舍命,Lloraste hasta que encontré mi fuerza,तू रोया जब तक मुझे सामर्थ न मिली ,rw jks;k tc rd eq>s lkeFkZ u feyh ,,ទ្រង់យំអេាយខ្ញុំមានកម្លាំង
YOU LOST YOUR BREATH DYING TO SAVE ME,拯救我恢复我力量,Perdiste tu aliento muriendo para salvarme,मुझे बचाने के लिए तूने अपनी साँसे दे दी,"eq>s cpkus ds fy, rwus viuh lk¡ls ns nh",,ទ្រង់សុគតដើម្បីសង្គ្រោះខ្ញុំ
I'LL NEVER GO BACK TO THAT GRAVE,那坟墓从此与我无份 *向祢称颂不已,Nunca volveré a esa tumba,मै अब उस कब्र में नहीं जाऊंगा ,eS vc ml dcz esa ugha tkÅaxk ,,ខ្ញុំមិនត្រលប់ទៅផ្នូរនោះឡើយ
ALL MY STRENGTH IS FOUND IN YOU, ,Encontré toda mi fuerza en ti,मेरी समर्थ बस तुझसे में मिलती है ,esjh leFkZ cl rq>ls esa feyrh gS ,,កម្លាំងខ្ញុំគឺនៅក្នុងទ្រង់
ALL MY JOY IS FOUND IN YOU LORD, ,Toda mi alegría se encuentra en ti Señor,मेरी सारा आनंद तुझमें में मिलता है,esjh lkjk vkuan rq>esa esa feyrk gS,,អំណរខ្ញុំគឺនៅក្នុងព្រះអង្គ
I'M STANDING IN YOUR PROMISE,站在祢应许中,De pie en tu promesa,मै तेरे वायदे में खड़ा हूँ ,eS rsjs ok;ns esa [kM+k gw¡ ,,ឈរក្នុងក្ដីសន្យាទ្រង់
SURROUNDED BY YOUR GOODNESS,蒙受祢的恩惠,Rodeado de tu bondad,तेरी भलाई से घिरा हूँ ,rsjh HkykbZ ls f?kjk gw¡ ,,ហ៊ុំព័ទ្ធដោយក្ដីសប្បុរសទ្រង់
YOU HAVE OVERWHELMED US,祢充满了我们,Tu nos has cautivado,तूने हमे अभिभूत कर दिया है ,rwus ges vfHkHkwr dj fn;k gS ,,ទ្រង់ចាក់បំពេញយើង
HALLELUJAH,哈利路亚,Aleluya,हालेलुयाह ,gkysyq;kg ,,ហាលេលូយ៉ា
